【汉字篇】
夢|ゆめ|梦想、梦境|夢はとても大切です。|使用「夢」的例句：梦想、梦境很重要
蓮|はす|莲花|蓮を買いました。|使用「蓮」的例句：买了莲花
柄|がら|花纹、性格|これは柄です。|使用「柄」的例句：这是花纹、性格
虹|にじ|彩虹|虹を買いました。|使用「虹」的例句：买了彩虹
嘘|うそ|谎言|嘘が好きです。|使用「嘘」的例句：喜欢谎言
毒|どく|毒、恶意|毒について話します。|使用「毒」的例句：谈论毒、恶意
傷|きず|伤口、瑕疵|傷を買いました。|使用「傷」的例句：买了伤口、瑕疵
跡|あと|痕迹、遗迹|跡について話します。|使用「跡」的例句：谈论痕迹、遗迹
損|そん|损失、不利|損を持っています。|使用「損」的例句：有损失、不利
鬱|うつ|抑郁、忧郁|鬱を買いました。|使用「鬱」的例句：买了抑郁、忧郁
楽|らく|轻松、快乐|楽気持ちです。|使用「楽」的例句：轻松、快乐的心情
役|やく|角色、作用|役が好きです。|使用「役」的例句：喜欢角色、作用
姿|すがた|姿态、身形|姿について話します。|使用「姿」的例句：谈论姿态、身形
肩|かた|肩膀|肩について話します。|使用「肩」的例句：谈论肩膀
胸|むね|胸部|胸はとても大切です。|使用「胸」的例句：胸部很重要
腹|はら|腹部|腹はとても大切です。|使用「腹」的例句：腹部很重要
肝|きも|肝脏|肝が好きです。|使用「肝」的例句：喜欢肝脏
腰|こし|腰部|腰が好きです。|使用「腰」的例句：喜欢腰部
膝|ひざ|膝盖|膝を買いました。|使用「膝」的例句：买了膝盖
扉|とびら|门、门径|扉はとても大切です。|使用「扉」的例句：门、门径很重要
麓|ふもと|山脚、山麓|麓はとても大切です。|使用「麓」的例句：山脚、山麓很重要
鍵|かぎ|钥匙、关键|鍵を持っています。|使用「鍵」的例句：有钥匙、关键
釘|くぎ|钉子|新しい釘です。|使用「釘」的例句：新的钉子
針|はり|针、指针|針を買いました。|使用「針」的例句：买了针、指针
方針|ほうしん|方针、政策|方針について話します。|使用「方針」的例句：谈论方针、政策
方法|ほうほう|方法、手段|方法はとても大切です。|使用「方法」的例句：方法、手段很重要
法律|ほうりつ|法律|法律が好きです。|使用「法律」的例句：喜欢法律
規律|きりつ|纪律、规矩|これは規律です。|使用「規律」的例句：这是纪律、规矩
規則|きそく|规则|これは規則です。|使用「規則」的例句：这是规则
規模|きぼ|规模、大小|規模天気ですね。|使用「規模」的例句：规模、大小的天气呢
模本|もほん|模板、样本|模本はとても大切です。|使用「模本」的例句：模板、样本很重要
模範|もはん|模范、榜样|これは模範です。|使用「模範」的例句：这是模范、榜样
模様|もよう|花纹、情况|模様が好きです。|使用「模様」的例句：喜欢花纹、情况
様子|ようす|样子、情况|様子を買いました。|使用「様子」的例句：买了样子、情况
容姿|ようし|容貌、外表|容姿を持っています。|使用「容姿」的例句：有容貌、外表
姿勢|しせい|姿势、态度|姿勢はとても大切です。|使用「姿勢」的例句：姿势、态度很重要
格好|かっこう|外形、打扮|格好天気ですね。|使用「格好」的例句：外形、打扮的天气呢
格安|かくやす|价格便宜|格安を持っています。|使用「格安」的例句：有价格便宜
安易|あんい|轻率、简单|これは安易です。|使用「安易」的例句：这是轻率、简单
依頼|いらい|委托、请求|依頼はとても大切です。|使用「依頼」的例句：委托、请求很重要
信頼|しんらい|信赖、依赖|信頼はとても大切です。|使用「信頼」的例句：信赖、依赖很重要
信仰|しんこう|信仰|信仰はとても大切です。|使用「信仰」的例句：信仰很重要
頑固|がんこ|顽固、固执|頑固について話します。|使用「頑固」的例句：谈论顽固、固执
頑丈|がんじょう|结实|頑丈が好きです。|使用「頑丈」的例句：喜欢结实
評判|ひょうばん|评价|評判はとても大切です。|使用「評判」的例句：评价很重要
批評|ひひょう|批评、评论|批評を買いました。|使用「批評」的例句：买了批评、评论
評価|ひょうか|评价、估价|評価について話します。|使用「評価」的例句：谈论评价、估价
形式|けいしき|形式、方式|形式を買いました。|使用「形式」的例句：买了形式、方式
景色|けしき|景色、风景|これは景色です。|使用「景色」的例句：这是景色、风景
特色|とくしょく|特色|特色を持っています。|使用「特色」的例句：有特色
特徴|とくちょう|特征|特徴を持っています。|使用「特徴」的例句：有特征
独特|どくとく|与众不同|独特を持っています。|使用「独特」的例句：有与众不同
苦情|くじょう|抱怨、投诉|苦情を買いました。|使用「苦情」的例句：买了抱怨、投诉
情報|じょうほう|信息|これは情報です。|使用「情報」的例句：这是信息
報告|ほうこく|报告、汇报|報告について話します。|使用「報告」的例句：谈论报告、汇报
告白|こくはく|告白、表白|告白を買いました。|使用「告白」的例句：买了告白、表白
納得|なっとく|理解、同意|納得について話します。|使用「納得」的例句：谈论理解、同意
納|おさ|缴纳、支付|納はとても大切です。|使用「納」的例句：缴纳、支付很重要
収納|しゅうのう|收纳|収納を買いました。|使用「収納」的例句：买了收纳
収穫|しゅうかく|收获|収穫を買いました。|使用「収穫」的例句：买了收获
吸収|きゅうしゅう|吸收|吸収を持っています。|使用「吸収」的例句：有吸收
領収書|りょうしゅうしょ|收据|領収書が好きです。|使用「領収書」的例句：喜欢收据
普及|ふきゅう|普及|新しい普及です。|使用「普及」的例句：新的普及
至急|しきゅう|紧急、急迫|至急について話します。|使用「至急」的例句：谈论紧急、急迫
地球|ちきゅう|地球、世界|地球はとても大切です。|使用「地球」的例句：地球、世界很重要
導入|どうにゅう|引入|導入を持っています。|使用「導入」的例句：有引入
輸送|ゆそう|运输、运送|輸送はとても大切です。|使用「輸送」的例句：运输、运送很重要
郵送|ゆうそう|邮寄、寄送|郵送が好きです。|使用「郵送」的例句：喜欢邮寄、寄送
寄付|きふ|捐赠、捐款|寄付について話します。|使用「寄付」的例句：谈论捐赠、捐款
付属|ふぞく|附属、附带|新しい付属です。|使用「付属」的例句：新的附属、附带
添付|てんぷ|附加、附上|添付を持っています。|使用「添付」的例句：有附加、附上
提案|ていあん|提案、建议|提案はとても大切です。|使用「提案」的例句：提案、建议很重要
案内|あんない|引导、通知|これは案内です。|使用「案内」的例句：这是引导、通知
参照|さんしょう|参考|新しい参照です。|使用「参照」的例句：新的参考
参考|さんこう|参考|これは参考です。|使用「参考」的例句：这是参考
考慮|こうりょ|考虑、斟酌|考慮を買いました。|使用「考慮」的例句：买了考虑、斟酌
配慮|はいりょ|关怀、关心|配慮が好きです。|使用「配慮」的例句：喜欢关怀、关心
遠慮|えんりょ|顾虑、客气|遠慮はとても大切です。|使用「遠慮」的例句：顾虑、客气很重要
柔軟|じゅうなん|柔软、灵活|柔軟を買いました。|使用「柔軟」的例句：买了柔软、灵活
軟弱|なんじゃく|弱、软弱|これは軟弱です。|使用「軟弱」的例句：这是弱、软弱
曖昧|あいまい|模糊、含糊|新しい曖昧です。|使用「曖昧」的例句：新的模糊、含糊
丁寧|ていねい|礼貌、细心|丁寧はとても大切です。|使用「丁寧」的例句：礼貌、细心很重要
挨拶|あいさつ|打招呼|挨拶を持っています。|使用「挨拶」的例句：有打招呼
抵抗|ていこう|抵抗、抵触|抵抗を持っています。|使用「抵抗」的例句：有抵抗、抵触
逃亡|とうぼう|逃亡、逃跑|逃亡について話します。|使用「逃亡」的例句：谈论逃亡、逃跑
逃避|とうひ|逃避、逃脱|逃避が好きです。|使用「逃避」的例句：喜欢逃避、逃脱
避難|ひなん|避难|避難はとても大切です。|使用「避難」的例句：避难很重要
契機|けいき|契机、机会|契機を買いました。|使用「契機」的例句：买了契机、机会
優先|ゆうせん|优先、先行|これは優先です。|使用「優先」的例句：这是优先、先行
乾燥|かんそう|干燥、枯燥|乾燥が好きです。|使用「乾燥」的例句：喜欢干燥、枯燥
礼儀|れいぎ|礼仪、礼节|礼儀を買いました。|使用「礼儀」的例句：买了礼仪、礼节
掲載|けいさい|刊登、发表|掲載について話します。|使用「掲載」的例句：谈论刊登、发表
深刻|しんこく|深刻、严重|これは深刻です。|使用「深刻」的例句：这是深刻、严重
運賃|うんちん|运费、车费|これは運賃です。|使用「運賃」的例句：这是运费、车费
撮影|さつえい|摄影、拍摄|新しい撮影です。|使用「撮影」的例句：新的摄影、拍摄
角度|かくど|角度、视角|角度を買いました。|使用「角度」的例句：买了角度、视角
象徴|しょうちょう|象征|象徴を買いました。|使用「象徴」的例句：买了象征
範囲|はんい|范围|範囲を買いました。|使用「範囲」的例句：买了范围
豊富|ほうふ|丰富、充实|これは豊富です。|使用「豊富」的例句：这是丰富、充实
削除|さくじょ|删除、去除|明日削除つもりです。|使用「削除」的例句：明天打算删除、去除
夢中|むちゅう|沉迷、专心|夢中はとても大切です。|使用「夢中」的例句：沉迷、专心很重要
奇妙|きみょう|奇妙、奇怪|奇妙について話します。|使用「奇妙」的例句：谈论奇妙、奇怪
矛盾|むじゅん|矛盾、冲突|矛盾を買いました。|使用「矛盾」的例句：买了矛盾、冲突
返却|へんきゃく|返还|返却について話します。|使用「返却」的例句：谈论返还
組織|そしき|组织、机构|新しい組織です。|使用「組織」的例句：新的组织、机构
冷静|れいせい|冷静、镇静|冷静人です。|使用「冷静」的例句：冷静、镇静的人
歓迎|かんげい|欢迎、接待|歓迎について話します。|使用「歓迎」的例句：谈论欢迎、接待
勧誘|かんゆう|劝诱、邀请|勧誘はとても大切です。|使用「勧誘」的例句：劝诱、邀请很重要
立派|りっぱ|壮丽、出色|立派はとても大切です。|使用「立派」的例句：壮丽、出色很重要
印刷|いんさつ|印刷、打印|印刷はとても大切です。|使用「印刷」的例句：印刷、打印很重要
即座|そくざ|立刻|即座が好きです。|使用「即座」的例句：喜欢立刻
中継|ちゅうけい|转换|これは中継です。|使用「中継」的例句：这是转换
贅沢|ぜいたく|奢侈、奢华|贅沢を買いました。|使用「贅沢」的例句：买了奢侈、奢华
幼稚|ようち|幼稚、稚嫩|幼稚を買いました。|使用「幼稚」的例句：买了幼稚、稚嫩
批判|ひはん|批评、批判|批判を買いました。|使用「批判」的例句：买了批评、批判
体格|たいかく|体格|体格はとても大切です。|使用「体格」的例句：体格很重要
異常|いじょう|异常|異常はとても大切です。|使用「異常」的例句：异常很重要
極端|きょくたん|极端、极度|極端が好きです。|使用「極端」的例句：喜欢极端、极度
貿易|ぼうえき|贸易、交易|貿易を買いました。|使用「貿易」的例句：买了贸易、交易
我慢|がまん|忍耐、耐性|我慢人です。|使用「我慢」的例句：忍耐、耐性的人
支持|しじ|支持、拥护|支持はとても大切です。|使用「支持」的例句：支持、拥护很重要
許可|きょか|许可、批准|許可を買いました。|使用「許可」的例句：买了许可、批准
距離|きょり|距离、间隔|これは距離です。|使用「距離」的例句：这是距离、间隔
円満|えんまん|圆满、和谐|円満が好きです。|使用「円満」的例句：喜欢圆满、和谐
恐怖|きょうふ|恐怖、害怕|新しい恐怖です。|使用「恐怖」的例句：新的恐怖、害怕
拒否|きょひ|拒绝、否决|拒否を買いました。|使用「拒否」的例句：买了拒绝、否决
幻想|げんそう|幻想、梦幻|幻想が好きです。|使用「幻想」的例句：喜欢幻想、梦幻
栽培|さいばい|种植、栽培|これは栽培です。|使用「栽培」的例句：这是种植、栽培
治療|ちりょう|治疗|治療を買いました。|使用「治療」的例句：买了治疗
採集|さいしゅう|收集、采集|採集が好きです。|使用「採集」的例句：喜欢收集、采集
取得|しゅとく|取得、获得|新しい取得です。|使用「取得」的例句：新的取得、获得
起源|きげん|起源、源头|起源を買いました。|使用「起源」的例句：买了起源、源头
願望|がんぼう|愿望、渴望|願望を買いました。|使用「願望」的例句：买了愿望、渴望
製造|せいぞう|制造、生产|製造はとても大切です。|使用「製造」的例句：制造、生产很重要
提供|ていきょう|提供、供应|提供を買いました。|使用「提供」的例句：买了提供、供应
邪魔|じゃま|妨碍、打扰|邪魔が好きです。|使用「邪魔」的例句：喜欢妨碍、打扰
濃厚|のうこう|浓厚、浓烈|これは濃厚です。|使用「濃厚」的例句：这是浓厚、浓烈
高級|こうきゅう|高级、豪华|高級気持ちです。|使用「高級」的例句：高级、豪华的心情
優秀|ゆうしゅう|优秀、出色|優秀を買いました。|使用「優秀」的例句：买了优秀、出色
鮮明|せんめい|鲜明、清晰|鮮明について話します。|使用「鮮明」的例句：谈论鲜明、清晰
過剰|かじょう|过度、过量|過剰はとても大切です。|使用「過剰」的例句：过度、过量很重要
臆病|おくびょう|胆小、害怕|臆病天気ですね。|使用「臆病」的例句：胆小、害怕的天气呢
緩和|かんわ|缓和、缓解|緩和について話します。|使用「緩和」的例句：谈论缓和、缓解
両替|りょうがえ|兑换、换钱|両替が好きです。|使用「両替」的例句：喜欢兑换、换钱
強化|きょうか|强化、增强|強化はとても大切です。|使用「強化」的例句：强化、增强很重要
在籍|ざいせき|在职、在籍|在籍を持っています。|使用「在籍」的例句：有在职、在籍
福祉|ふくし|福利、福祉|福祉について話します。|使用「福祉」的例句：谈论福利、福祉
冗談|じょうだん|玩笑、讽刺|冗談はとても大切です。|使用「冗談」的例句：玩笑、讽刺很重要
自慢|じまん|自豪、骄傲|とても自慢です。|使用「自慢」的例句：非常自豪、骄傲
抽選|ちゅうせん|抽奖、抽签|抽選が好きです。|使用「抽選」的例句：喜欢抽奖、抽签
警備|けいび|警备、保安|警備が好きです。|使用「警備」的例句：喜欢警备、保安
